# GRE High-Frequency Vocabulary — word,chinese,pos
abate,减少/减弱,v
chicanery,诡计/欺骗,n
disseminate,传播/散布,v
gainsay,否认/反驳,v
latent,潜在的/隐藏的,adj
aberrant,异常的/偏离正轨的,adj
coagulate,凝固/凝结,v
dissonance,不和谐/不一致,n
gregarious,群居的/爱社交的,adj
laud,赞美/称赞,v
abstemious,有节制的/节俭的,adj
cognizant,认知的/意识到的,adj
dogmatic,教条的/武断的,adj
guileless,真诚的/不狡诈的,adj
lethargic,昏昏欲睡的/无精打采的,adj
accolade,荣誉/赞扬,n
commensurate,相称的/相当的,adj
ebullient,热情洋溢的/兴高采烈的,adj
hackneyed,陈腐的/老套的,adj
levity,轻率/轻浮,n
acumen,敏锐/聪明才智,n
compendious,简明的/扼要的,adj
eclectic,折中的/兼收并蓄的,adj
harangue,长篇大论/慷慨陈词,n
loquacious,多话的/健谈的,adj
adamant,坚定不移的,adj
complaisant,顺从的/殷勤的,adj
efficacy,功效/效力,n
iconoclast,反传统者/偶像破坏者,n
lucid,清晰的/明了的,adj
admonish,劝告/警告,v
concede,承认/让步,v
egregious,极其恶劣的,adj
idiosyncratic,独特的/特质的,adj
luminous,发光的/明亮的,adj
advocate,提倡/拥护,v
conciliatory,调和的/安抚的,adj
elegy,挽歌/悲歌,n
immutable,不可改变的,adj
magnanimous,宽宏大量的,adj
aesthetic,审美的/美学的,adj
condone,宽恕/容忍,v
eloquent,雄辩的/有说服力的,adj
impede,阻碍/妨碍,v
malleable,可锻的/易塑的,adj
affable,和蔼可亲的,adj
confound,使困惑/使混淆,v
elusive,难以捉摸的,adj
impervious,不受影响的/不渗透的,adj
maverick,特立独行者,n
aggrandize,扩大/夸大,v
connoisseur,鉴赏家/行家,n
embellish,装饰/润色,v
implacable,不能安抚的/无情的,adj
meticulous,一丝不苟的,adj
alacrity,敏捷/热忱,n
conspicuous,显著的/引人注目的,adj
eminent,杰出的/著名的,adj
implicit,含蓄的/隐含的,adj
mitigate,减轻/缓和,v
alleviate,减轻/缓解,v
contrite,悔恨的/痛悔的,adj
empirical,经验的/实证的,adj
impugn,质疑/抨击,v
mollify,安抚/平息,v
amalgamate,合并/混合,v
conundrum,难题/谜团,n
enervate,使衰弱/使无力,v
inchoate,初期的/未成形的,adj
morose,郁闷的/阴郁的,adj
ambiguous,模棱两可的,adj
copious,大量的/丰富的,adj
engender,产生/引起,v
